date,year,week,day_of_week,v_name,h_name,day_night,park_id,temp,precip,capacity,prev_year_wins,made_playoffs,won_division,InstagramFollowers,CityPopulation,Payroll,PayrollStd,attendance
2005-04-10,2005,1,Sun,CIN,HOU,0,Minute Maid Park,79.4,0.0,41168.0,92,1,0,1600000,7796182,76779022,1.055407563,31832.0
2005-04-10,2005,1,Sun,PIT,SD,0,Petco Park,65.0,0.0,42445.0,87,0,0,1400000,3298799,62888192,0.864463648,33521.0
2005-04-10,2005,1,Sun,COL,SF,0,AT&T Park,63.4,0.0,41915.0,91,0,0,1600000,4648486,89487842,1.230103521,38588.0
2005-04-10,2005,1,Sun,PHI,STL,0,Busch Stadium II,79.4,0.0,50345.0,105,1,1,1100000,2811927,93319842,1.282778349,37971.0
2005-04-11,2005,2,Mon,NYY,BOS,0,Fenway Park,46.5,0.012,37731.0,98,1,0,2200000,5025517,121311945,1.667558937,33702.0
2005-04-11,2005,2,Mon,CHW,CLE,0,Progressive Field,55.4,0.0,43000.0,80,0,0,726000,2171877,41830400,0.575002382,42461.0
2005-04-11,2005,2,Mon,SEA,KC,0,Kauffman Stadium,69.6,0.902,37903.0,58,0,0,1000000,2253579,36881000,0.506967728,41788.0
2005-04-11,2005,2,Mon,TOR,OAK,1,Coliseum,62.2,0.0,47170.0,91,0,0,530000,2463127,55869262,0.767981151,44815.0
2005-04-11,2005,2,Mon,LAA,TEX,0,Globe Life Field,72.6,0.228,48114.0,89,0,0,1000000,8344032,55307258,0.760255821,50054.0
2005-04-11,2005,2,Mon,COL,ARI,1,Chase Field,,,48686.0,51,0,0,665000,5186958,63015834,0.866218221,18742.0
2005-04-11,2005,2,Mon,WSH,ATL,1,Turner Field,73.7,0.0,49586.0,96,1,1,1900000,6411149,85148582,1.170455876,16584.0
2005-04-11,2005,2,Mon,SD,CHC,0,Wrigley Field,65.8,0.0,41072.0,89,0,0,1900000,9408576,87210933,1.198805037,36791.0
2005-04-11,2005,2,Mon,PHI,MIA,1,Sun Life Stadium,76.2,0.0,47662.0,83,0,0,783000,6457988,60375961,0.829930419,11416.0
2005-04-11,2005,1,Mon,PIT,MIL,0,Miller Park,,,41900.0,67,0,0,670000,1574452,40234833,0.553069653,42458.0
2005-04-11,2005,2,Mon,HOU,NYM,0,Shea Stadium,54.9,0.0,57333.0,71,0,0,1700000,19940274,104770139,1.440174598,53663.0
2005-04-12,2005,2,Tue,DET,MIN,1,Metrodome,,,55000.0,92,1,1,585000,3757952,56615000,0.778232096,15071.0
2005-04-12,2005,2,Tue,TOR,OAK,1,Coliseum,60.7,0.0,47170.0,91,0,0,530000,2463127,55869262,0.767981151,10106.0
2005-04-12,2005,2,Tue,BAL,TB,1,Tropicana Field,,,42735.0,70,0,0,528000,3424650,29893567,0.410918189,10563.0
2005-04-12,2005,2,Tue,LAA,TEX,1,Globe Life Field,75.5,0.0,48114.0,89,0,0,1000000,8344032,55307258,0.760255821,23061.0
2005-04-12,2005,2,Tue,COL,ARI,1,Chase Field,,,48686.0,51,0,0,665000,5186958,63015834,0.866218221,20725.0
2005-04-12,2005,2,Tue,WSH,ATL,1,Turner Field,71.3,0.126,49586.0,96,1,1,1900000,6411149,85148582,1.170455876,20122.0
2005-04-12,2005,2,Tue,PHI,MIA,1,Sun Life Stadium,78.5,0.0,47662.0,83,0,0,783000,6457988,60375961,0.829930419,15129.0
2005-04-12,2005,2,Tue,SF,LAD,0,Dodger Stadium,76.9,0.0,56000.0,93,1,1,4800000,12927614,81029500,1.113834807,55892.0
2005-04-12,2005,2,Tue,PIT,MIL,1,Miller Park,,,41900.0,67,0,0,670000,1574452,40234833,0.553069653,10927.0
2005-04-12,2005,1,Tue,CIN,STL,1,Busch Stadium II,64.4,0.618,50345.0,105,1,1,1100000,2811927,93319842,1.282778349,33617.0
2005-04-13,2005,2,Wed,NYY,BOS,1,Fenway Park,48.0,0.0,37731.0,98,1,0,2200000,5025517,121311945,1.667558937,35115.0
2005-04-13,2005,2,Wed,CHW,CLE,1,Progressive Field,49.7,0.0,43000.0,80,0,0,726000,2171877,41830400,0.575002382,14410.0
2005-04-13,2005,2,Wed,SEA,KC,0,Kauffman Stadium,62.5,0.0,37903.0,58,0,0,1000000,2253579,36881000,0.506967728,10577.0
2005-04-13,2005,2,Wed,DET,MIN,1,Metrodome,,,55000.0,92,1,1,585000,3757952,56615000,0.778232096,16067.0
2005-04-13,2005,2,Wed,TOR,OAK,1,Coliseum,56.5,0.028,47170.0,91,0,0,530000,2463127,55869262,0.767981151,15860.0
2005-04-13,2005,2,Wed,BAL,TB,1,Tropicana Field,,,42735.0,70,0,0,528000,3424650,29893567,0.410918189,9226.0
2005-04-13,2005,2,Wed,LAA,TEX,1,Globe Life Field,73.5,0.0,48114.0,89,0,0,1000000,8344032,55307258,0.760255821,21625.0
2005-04-13,2005,2,Wed,COL,ARI,0,Chase Field,,,48686.0,51,0,0,665000,5186958,63015834,0.866218221,19272.0
2005-04-13,2005,2,Wed,WSH,ATL,0,Turner Field,64.6,0.087,49586.0,96,1,1,1900000,6411149,85148582,1.170455876,19093.0
2005-04-13,2005,2,Wed,SD,CHC,0,Wrigley Field,48.1,0.0,41072.0,89,0,0,1900000,9408576,87210933,1.198805037,39230.0
2005-04-13,2005,2,Wed,PHI,MIA,0,Sun Life Stadium,84.1,0.146,47662.0,83,0,0,783000,6457988,60375961,0.829930419,14427.0
2005-04-13,2005,2,Wed,SF,LAD,1,Dodger Stadium,74.3,0.0,56000.0,93,1,1,4800000,12927614,81029500,1.113834807,46514.0
2005-04-13,2005,2,Wed,PIT,MIL,0,Miller Park,,,41900.0,67,0,0,670000,1574452,40234833,0.553069653,11021.0
2005-04-13,2005,2,Wed,HOU,NYM,1,Shea Stadium,53.5,0.0,57333.0,71,0,0,1700000,19940274,104770139,1.440174598,22431.0
2005-04-13,2005,2,Wed,CIN,STL,0,Busch Stadium II,61.4,0.213,50345.0,105,1,1,1100000,2811927,93319842,1.282778349,28772.0
2005-04-14,2005,2,Thu,NYY,BOS,1,Fenway Park,49.9,0.0,37731.0,98,1,0,2200000,5025517,121311945,1.667558937,35251.0
2005-04-14,2005,2,Thu,CHW,CLE,1,Progressive Field,52.1,0.0,43000.0,80,0,0,726000,2171877,41830400,0.575002382,12470.0
2005-04-14,2005,2,Thu,SEA,KC,0,Kauffman Stadium,65.5,0.0,37903.0,58,0,0,1000000,2253579,36881000,0.506967728,10212.0
2005-04-14,2005,2,Thu,DET,MIN,1,Metrodome,,,55000.0,92,1,1,585000,3757952,56615000,0.778232096,14344.0
2005-04-14,2005,2,Thu,BAL,TB,1,Tropicana Field,,,42735.0,70,0,0,528000,3424650,29893567,0.410918189,9797.0
2005-04-14,2005,2,Thu,TOR,TEX,1,Globe Life Field,72.7,0.0,48114.0,89,0,0,1000000,8344032,55307258,0.760255821,19366.0
2005-04-14,2005,2,Thu,HOU,NYM,1,Shea Stadium,60.9,0.0,57333.0,71,0,0,1700000,19940274,104770139,1.440174598,17214.0
2005-04-14,2005,2,Thu,ARI,WSH,1,RFK Stadium,64.3,0.0,45596.0,67,0,0,711000,6436489,48581500,0.667803278,45596.0
2005-04-15,2005,2,Fri,NYY,BAL,1,Camden Yards,56.2,0.0,45971.0,78,0,0,746000,2859024,74570539,1.025049666,48061.0
2005-04-15,2005,2,Fri,TB,BOS,1,Fenway Park,47.4,0.0,37731.0,98,1,0,2200000,5025517,121311945,1.667558937,35023.0
2005-04-15,2005,2,Fri,SEA,CHW,1,US Cellular Field,50.6,0.0,40615.0,83,0,0,664000,9408576,75228000,1.034087152,16749.0
2005-04-15,2005,2,Fri,MIN,CLE,1,Progressive Field,55.8,0.0,43000.0,80,0,0,726000,2171877,41830400,0.575002382,15360.0
2005-04-15,2005,2,Fri,DET,KC,1,Kauffman Stadium,70.5,0.0,37903.0,58,0,0,1000000,2253579,36881000,0.506967728,29720.0
2005-04-15,2005,2,Fri,LAA,OAK,1,Coliseum,68.6,0.0,47170.0,91,0,0,530000,2463127,55869262,0.767981151,23283.0
2005-04-15,2005,2,Fri,TOR,TEX,1,Globe Life Field,74.9,0.0,48114.0,89,0,0,1000000,8344032,55307258,0.760255821,30453.0
2005-04-15,2005,2,Fri,HOU,CIN,1,Great American Ball Park,68.4,0.0,42319.0,76,0,0,761000,2302815,59658275,0.820065078,31740.0
2005-04-15,2005,2,Fri,SF,COL,1,Coors Field,68.4,0.0,50144.0,68,0,0,552000,3052498,47789000,0.65690954,22551.0
2005-04-15,2005,2,Fri,SD,LAD,1,Dodger Stadium,79.8,0.0,56000.0,93,1,1,4800000,12927614,81029500,1.113834807,51816.0
2005-04-15,2005,2,Fri,STL,MIL,1,Miller Park,,,41900.0,67,0,0,670000,1574452,40234833,0.553069653,22676.0
2005-04-15,2005,2,Fri,MIA,NYM,1,Shea Stadium,54.2,0.0,57333.0,71,0,0,1700000,19940274,104770139,1.440174598,49448.0
2005-04-15,2005,2,Fri,ATL,PHI,1,Citizens Bank Park,55.1,0.0,43651.0,86,0,0,1300000,6330422,95337908,1.310518766,31408.0
2005-04-15,2005,2,Fri,CHC,PIT,1,PNC Park,63.0,0.0,38362.0,72,0,0,837000,2429917,38138000,0.524246501,29256.0
2005-04-16,2005,2,Sat,NYY,BAL,0,Camden Yards,60.2,0.0,45971.0,78,0,0,746000,2859024,74570539,1.025049666,48598.0
