date,year,day_of_week,v_name,v_league,v_game_number,h_name,h_league,h_game_number,v_score,h_score,day_night,park_id,attendance,week,location,temp,precip,home team,capacity,Team,prev_year_wins,made_playoffs,won_division
2005-04-16,2005,Sat,NYY,AL,11,BAL,AL,11,6,7,D,Camden Yards,48598.0,2,Baltimore,60.2,0.0,Orioles,45971.0,Orioles,78,0,0
2005-04-16,2005,Sat,TB,AL,11,BOS,AL,11,2,6,N,Fenway Park,35106.0,2,Boston,51.7,0.0,Red Sox,37731.0,Red Sox,98,1,0
2005-04-16,2005,Sat,SEA,AL,11,CHW,AL,11,1,2,D,US Cellular Field,25931.0,2,Chicago,62.2,0.0,White Sox,40615.0,White Sox,83,0,0
2005-04-16,2005,Sat,MIN,AL,11,CLE,AL,11,6,4,D,Progressive Field,18699.0,2,Cleveland,65.3,0.0,Indians,43000.0,Indians,80,0,0
2005-04-16,2005,Sat,DET,AL,11,KC,AL,11,7,1,D,Kauffman Stadium,22881.0,2,Kansas City,75.4,0.0,Royals,37903.0,Royals,58,0,0
2005-04-16,2005,Sat,LAA,AL,11,OAK,AL,11,0,1,D,Coliseum,25280.0,2,Oakland,68.4,0.0,Athletics,47170.0,Athletics,91,0,0
2005-04-16,2005,Sat,TOR,AL,12,TEX,AL,12,8,0,N,Globe Life Field,40499.0,2,Texas,77.5,0.0,Rangers,48114.0,Rangers,89,0,0
2005-04-16,2005,Sat,HOU,NL,10,CIN,NL,10,2,3,D,Great American Ball Park,26926.0,2,Cincinatti,71.2,0.0,Reds,42319.0,Reds,76,0,0
2005-04-16,2005,Sat,SF,NL,10,COL,NL,10,4,5,N,Coors Field,23439.0,2,Colorado,66.4,0.0,Rockies,50144.0,Rockies,68,0,0
2005-04-16,2005,Sat,SD,NL,11,LAD,NL,10,3,8,N,Dodger Stadium,54704.0,2,Los Angeles,81.9,0.0,Dodgers,56000.0,Dodgers,93,1,1
2005-04-16,2005,Sat,STL,NL,9,MIL,NL,10,5,3,D,Miller Park,30732.0,2,Miluakee,,,Brewers,41900.0,Brewers,67,0,0
2005-04-16,2005,Sat,MIA,NL,11,NYM,NL,11,3,4,D,Shea Stadium,55351.0,2,New York,55.9,0.0,Mets,57333.0,Mets,71,0,0
2005-04-16,2005,Sat,ATL,NL,11,PHI,NL,11,1,2,D,Citizens Bank Park,36820.0,2,Philadelphia,59.2,0.0,Phillies,43651.0,Phillies,86,0,0
2005-04-16,2005,Sat,CHC,NL,11,PIT,NL,11,4,3,N,PNC Park,34783.0,2,Pittsburgh,66.4,0.0,Pirates,38362.0,Pirates,72,0,0
