latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.785587,-122.40964,11.0,0,GMT,GMT
,,,,,
time,temperature_2m_max (°F),precipitation_sum (inch),,,
2006-05-29,66.6,0.000,,,
2006-05-30,69.0,0.000,,,
2006-05-31,67.4,0.000,,,
2006-06-01,69.4,0.004,,,
2006-06-02,70.5,0.000,,,
2006-06-03,73.5,0.000,,,
2006-06-04,72.3,0.000,,,
2006-06-05,65.6,0.000,,,
2006-06-06,70.3,0.000,,,
2006-06-07,69.1,0.000,,,
2006-06-08,67.1,0.000,,,
2006-06-09,66.8,0.000,,,
2006-06-10,64.7,0.000,,,
2006-06-11,62.6,0.016,,,
2006-06-12,63.9,0.004,,,
2006-06-13,64.4,0.000,,,
2006-06-14,65.7,0.004,,,
2006-06-15,72.4,0.000,,,
2006-06-16,82.0,0.000,,,
2006-06-17,80.4,0.000,,,
2006-06-18,73.6,0.000,,,
2006-06-19,70.7,0.000,,,
2006-06-20,74.5,0.000,,,
2006-06-21,83.2,0.000,,,
2006-06-22,86.3,0.000,,,
2006-06-23,80.9,0.000,,,
2006-06-24,71.5,0.000,,,
2006-06-25,69.8,0.000,,,
2006-06-26,73.8,0.000,,,
2006-06-27,70.2,0.000,,,
2006-06-28,73.9,0.000,,,
2006-06-29,72.1,0.000,,,
2006-06-30,68.5,0.000,,,
2006-07-01,69.7,0.000,,,
2006-07-02,67.2,0.000,,,
2006-07-03,65.5,0.000,,,
2006-07-04,64.9,0.000,,,
2006-07-05,65.4,0.000,,,
2006-07-06,68.8,0.000,,,
2006-07-07,76.9,0.000,,,
2006-07-08,78.5,0.000,,,
2006-07-09,76.2,0.000,,,
2006-07-10,70.3,0.000,,,
2006-07-11,67.3,0.000,,,
2006-07-12,68.9,0.000,,,
2006-07-13,74.6,0.000,,,
2006-07-14,71.8,0.000,,,
2006-07-15,72.4,0.000,,,
2006-07-16,77.6,0.000,,,
2006-07-17,81.4,0.000,,,
2006-07-18,80.0,0.000,,,
2006-07-19,78.6,0.000,,,
2006-07-20,79.0,0.000,,,
2006-07-21,79.4,0.000,,,
2006-07-22,91.3,0.000,,,
2006-07-23,87.4,0.000,,,
2006-07-24,82.8,0.000,,,
2006-07-25,82.4,0.000,,,
2006-07-26,75.5,0.000,,,
2006-07-27,69.7,0.000,,,
2006-07-28,70.6,0.000,,,
2006-07-29,68.0,0.000,,,
2006-07-30,74.9,0.000,,,
2006-07-31,73.8,0.000,,,
2006-08-01,72.8,0.000,,,
2006-08-02,71.7,0.000,,,
2006-08-03,71.1,0.000,,,
2006-08-04,70.3,0.000,,,
2006-08-05,71.1,0.000,,,
2006-08-06,69.3,0.000,,,
2006-08-07,67.0,0.000,,,
2006-08-08,75.9,0.000,,,
2006-08-09,84.3,0.000,,,
2006-08-10,79.5,0.000,,,
2006-08-11,72.9,0.000,,,
2006-08-12,71.4,0.000,,,
2006-08-13,71.5,0.000,,,
2006-08-14,68.0,0.000,,,
2006-08-15,66.7,0.000,,,
2006-08-16,66.1,0.000,,,
2006-08-17,76.0,0.000,,,
2006-08-18,69.8,0.000,,,
2006-08-19,66.9,0.000,,,
2006-08-20,65.8,0.000,,,
2006-08-21,66.8,0.000,,,
2006-08-22,71.9,0.000,,,
2006-08-23,70.1,0.000,,,
